"path","status","source_type","notes"
"完整副本/公众号文章/D01_AI时代独立思考的价值.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/深度卡/C1-1_多巴胺基线崩塌与修复.md","已抽取样本","原始素材","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D02_资产vs负债.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/深度卡/C3-3_一人企业模型.md","已抽取样本","原始素材","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/已发布分析/DBS_DEEP_ANALYSIS_2026-06-11.md","已抽取样本","原始素材","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D03_多巴胺天平.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D04_HKR流量公式.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：normalize-tweet-archive"
"完整副本/公众号文章/D05_认知Bug防御.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D06_100篇定律.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：normalize-tweet-archive"
"完整副本/公众号文章/D07_最小可行性习惯.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/深度卡/C1-2_饮食决策框架.md","已抽取样本","原始素材","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/深度卡/C2-1_先避毁灭再求收益.md","已抽取样本","原始素材","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/深度卡/C4-1_三位一体创作.md","已抽取样本","原始素材","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/已发布分析/DBS_ENGINEERING_LEARNINGS_2026-06-11.md","已跳过：结构化中间文件","原始素材","分类器跳过于 2026-06-11"
"完整副本/已发布分析/DBS_CONTENT_FULL_DIAGNOSIS.md","已抽取样本","原始素材","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D08_复利曲线.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D09_内容创作四根命脉.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D10_忙碌逃避.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：normalize-tweet-archive"
"完整副本/公众号文章/D100_内容产品化.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D101_发布不是终点.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D102_环境的暴政.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D103_饮食决策框架.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D104_昼夜节律重建.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D105_成瘾不是意志力问题.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D106_睡眠不是休息.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
"完整副本/公众号文章/D107_认知目标函数.md","已抽取样本","公众号文章","样本抽取于 2026-06-11；模式：extract-article"
